Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
33829,6115,30496,8157,0.422882080078125,0.3408660888671875,0.0,3.220375139668036,0.9925947489659745,1.894816731183338e-237,3662.731134044245,1,181,v1,nsF5,3,0.55,0.0697
33411,6230,30114,8230,0.4147491455078125,0.33392333984375,0.0,3.2280814998012355,0.9936595227818834,7.005645596089158e-228,3547.7935989501607,1,181,v2,nsF5,2,0.35,0.0893
31926,7142,28373,8821,0.378173828125,0.29833984375,0.0,3.261100444079847,0.9985019077150245,2.315958673215884e-215,3327.391198848545,1,181,v3,nsF5,2,0.85,0.2162
31274,6901,28334,8891,0.3719024658203125,0.2966766357421875,0.0,3.2202180440922272,0.9920117402153583,9.49245649842734e-190,2990.3251818883036,1,181,v4,matrix,3,0.5,0.0624
24858,9946,22546,11398,0.2275390625,0.17010498046875,1.7824899118402753e-250,3.275307439205659,0.998166955670704,1.844003645613026e-80,1589.73273397679,1,181,v5,matrix,2,0.8,0.2002
30404,11818,26092,10606,0.283599853515625,0.236297607421875,3.9379215164217626e-94,4.0948249113768895,0.9962096206204347,3.424218602345856e-103,780.2523920165596,0,182,clean,,,,
29986,11965,25636,10696,0.2749786376953125,0.22796630859375,8.47292550331698e-94,4.0988178664029915,0.997160001861541,2.7129187823866088e-101,778.4254764944372,1,182,v0,nsF5,3,0.25,0.0320
29607,12065,25196,10808,0.267669677734375,0.21954345703125,8.959590353991493e-91,4.102776316200525,0.9980101992461583,4.2196795333265305e-98,761.7837317023741,1,182,v1,nsF5,3,0.55,0.0697
29506,12131,24929,10892,0.2651214599609375,0.2141876220703125,6.154690256859817e-85,4.10390155818446,0.9982972279894177,6.824521886391373e-92,729.45771416105,1,182,v2,nsF5,2,0.35,0.0879
28720,12654,23859,11301,0.245147705078125,0.191619873046875,3.15274114072176e-84,4.1096636437232625,0.9996463241795353,9.427628671768076e-86,725.5087170462579,1,182,v3,nsF5,2,0.85,0.2143
28204,12617,24054,11315,0.2378387451171875,0.1943817138671875,1.816368346748606e-71,4.102898443524054,0.9978173565696795,2.72224399989057e-77,653.6485017926407,1,182,v4,matrix,3,0.5,0.0628
24298,14699,20369,13019,0.1464691162109375,0.112152099609375,1.3478035671772493e-30,4.117071493426397,0.9995431345531236,9.961521891346236e-31,405.6245559785512,1,182,v5,matrix,2,0.8,0.1997
